index original filtered
0 1.41 1.28
1 1.2865 1.23897
2 1.10229 1.19753
3 1.0385 1.15568
4 1.123 1.11344
5 1.19499 1.07082
6 1.10907 1.02784
7 0.919735 0.984505
8 0.812248 0.940841
9 0.867597 0.896858
10 0.959768 0.852571
11 0.915641 0.807995
12 0.734663 0.763146
13 0.589564 0.718038
14 0.607226 0.672686
15 0.707714 0.627107
16 0.705717 0.581315
17 0.545685 0.535326
18 0.372329 0.489156
19 0.347034 0.44282
20 0.443121 0.396334
21 0.479712 0.349714
22 0.351247 0.302976
23 0.161434 0.256134
24 0.0916873 0.209206
25 0.170975 0.162207
26 0.239083 0.115153
27 0.149913 0.0680598
28 -0.043133 0.0209437
29 -0.154887 -0.0261795
30 -0.103331 -0.0732938
31 -0.01364 -0.120383
32 -0.059341 -0.167432
33 -0.242128 -0.214424
34 -0.389692 -0.261343
35 -0.374322 -0.308174
36 -0.27492 -0.3549
37 -0.276875 -0.401507
38 -0.436823 -0.447977
39 -0.61077 -0.494295
40 -0.636769 -0.540446
41 -0.540372 -0.586413
42 -0.502192 -0.632182
43 -0.628726 -0.677737
44 -0.817214 -0.723062
45 -0.886 -0.768142
46 -0.80499 -0.812962
47 -0.73382 -0.857506
48 -0.819289 -0.90176
49 -1.00909 -0.945708
50 -1.11815 -0.989336
51 -1.06344 -1.03263
52 -0.969285 -1.07557
53 -1.00962 -1.11815
54 -1.18727 -1.16035
55 -1.33038 -1.20216
56 -1.31039 -1.24355
57 -1.20518 -1.28453
58 -1.20022 -1.32507
59 -1.35322 -1.36517
60 -1.52092 -1.4048
61 -1.54081 -1.44395
62 -1.43732 -1.48262
63 -1.3908 -1.52078
64 -1.50868 -1.55843
65 -1.68915 -1.59555
66 -1.75032 -1.63213
67 -1.66098 -1.66815
68 -1.58018 -1.70362
69 -1.65541 -1.7385
70 -1.83548 -1.77279
71 -1.93541 -1.80649
72 -1.87116 -1.83957
73 -1.7662 -1.87203
74 -1.79488 -1.90385
75 -1.96117 -1.93503
76 -2.09364 -1.96555
77 -2.06293 -1.99541
78 -1.94588 -2.02459
79 -1.92801 -2.05309
80 -2.06815 -2.08089
81 -2.22374 -2.10798
82 -2.23175 -2.13436
83 -2.11547 -2.16002
84 -2.05498 -2.18494
85 -2.15864 -2.20913
86 -2.32561 -2.23257
87 -2.37377 -2.25525
88 -2.27078 -2.27716
89 -2.17512 -2.29831
90 -2.23497 -2.31867
91 -2.40023 -2.33825
92 -2.48606 -2.35704
93 -2.40739 -2.37503
94 -2.28685 -2.39221
95 -2.29918 -2.40858
96 -2.4495 -2.42414
97 -2.56682 -2.43888
98 -2.52098 -2.45279
99 -2.38778 -2.46587
100 -2.35282 -2.47811
101 -2.47598 -2.48951
102 -2.61546 -2.50007
103 -2.6077 -2.50978
104 -2.47485 -2.51865
105 -2.39672 -2.52665
106 -2.48259 -2.53381
107 -2.63259 -2.5401
108 -2.66438 -2.54553
109 -2.54452 -2.55011
110 -2.43088 -2.55381
111 -2.47235 -2.55665
112 -2.61991 -2.55863
113 -2.68886 -2.55974
114 -2.59311 -2.55998
115 -2.45446 -2.55935
116 -2.44803 -2.55786
117 -2.58008 -2.5555
118 -2.68008 -2.55227
119 -2.61706 -2.54818
120 -2.46579 -2.54323
121 -2.41191 -2.53741
122 -2.51641 -2.53073
123 -2.63822 -2.5232
124 -2.61325 -2.51481
125 -2.46253 -2.50557
126 -2.36557 -2.49548
127 -2.4326 -2.48455
128 -2.56469 -2.47277
129 -2.57932 -2.46016
130 -2.44192 -2.44671
131 -2.30976 -2.43243
132 -2.33242 -2.41733
133 -2.46198 -2.40141
134 -2.51388 -2.38467
135 -2.40103 -2.36713
136 -2.24437 -2.34879
137 -2.21939 -2.32965
138 -2.33351 -2.30972
139 -2.41666 -2.289
140 -2.33707 -2.26752
141 -2.16846 -2.24526
142 -2.09654 -2.22224
143 -2.18335 -2.19847
144 -2.28861 -2.17396
145 -2.24766 -2.14871
146 -2.08044 -2.12273
147 -1.96615 -2.09603
148 -2.01594 -2.06862
149 -2.13187 -2.04051
150 -2.13119 -2.01171
151 -1.97824 -1.98222
152 -1.82967 -1.95207
153 -1.83574 -1.92125
154 -1.94966 -1.88979
155 -1.98697 -1.85768
156 -1.85961 -1.82494
157 -1.68765 -1.79159
158 -1.64695 -1.75762
159 -1.74608 -1.72307
160 -1.81543 -1.68793
161 -1.72243 -1.65221
162 -1.53978 -1.61594
163 -1.45321 -1.57912
164 -1.52585 -1.54176
165 -1.61815 -1.50388
166 -1.56497 -1.46549
167 -1.38508 -1.42661
168 -1.2574 -1.38724
169 -1.29399 -1.3474
170 -1.3979 -1.30711
171 -1.38617 -1.26637
172 -1.22202 -1.22521
173 -1.06149 -1.18362
174 -1.05553 -1.14164
175 -1.15843 -1.09927
176 -1.1859 -1.05653
177 -1.04887 -1.01343
178 -0.866528 -0.969987
179 -0.815122 -0.926215
180 -0.904354 -0.882129
181 -0.965088 -0.837744
182 -0.863967 -0.793075
