index original filtered
0 0 1.22733
1 0 1.12728
2 0 1.02799
3 0 0.929961
4 0 0.833666
5 0 0.739574
6 0 0.648131
7 0 0.55976
8 0 0.474856
9 0 0.393786
10 0 0.316882
11 0 0.244439
12 0 0.176715
13 0 0.113928
14 0 0.056253
15 0 0.00382329
16 0 -0.0432723
17 0 -0.0849882
18 0 -0.121323
19 0 -0.152317
20 0 -0.178054
21 0 -0.198656
22 0 -0.214285
23 0 -0.22514
24 0 -0.231452
25 0 -0.233482
26 0 -0.231521
27 0 -0.225883
28 0 -0.216902
29 0 -0.204931
30 0 -0.190334
31 0 -0.173484
32 0 -0.15476
33 0 -0.134543
34 0 -0.11321
35 0 -0.0911307
36 0 -0.0686673
37 0 -0.0461664
38 0 -0.0239585
39 0 -0.00235396
40 0 0.0183592
41 0 0.0379179
42 0 0.0560862
43 0 0.0726571
44 0 0.0874535
45 0 0.10033
46 0 0.111172
47 0 0.119898
48 0 0.126459
49 0 0.130835
50 0 0.13304
51 0 0.133116
52 0 0.131132
53 0 0.127185
54 0 0.121395
55 0 0.113904
56 0 0.104874
57 0 0.0944835
58 0 0.0829247
59 0 0.0704007
60 0 0.0571225
61 0 0.0433062
62 0 0.0291696
63 0 0.0149295
64 0 0.000798537
65 0 -0.0130172
66 0 -0.0263212
67 0 -0.0389287
68 0 -0.0506692
69 0 -0.0613883
70 0 -0.0709494
71 0 -0.0792356
72 0 -0.0861502
73 0 -0.0916184
74 0 -0.0955875
75 0 -0.0980271
76 0 -0.0989295
77 0 -0.098309
78 0 -0.0962016
79 0 -0.092664
80 0 -0.0877725
81 0 -0.0816214
82 0 -0.074322
83 0 -0.0659999
84 0 -0.056794
85 0 -0.0468535
86 0 -0.0363362
87 0 -0.025406
88 0 -0.0142304
89 0 -0.00297839
90 0 0.00818223
91 0 0.019087
92 0 0.0295773
93 0 0.0395022
94 0 0.0487209
95 0 0.057104
96 0 0.064536
97 0 0.0709162
98 0 0.0761602
99 0 0.0802007
100 0 0.0829888
101 0 0.084494
102 0 0.0847046
103 0 0.0836282
104 0 0.0812905
105 0 0.0777357
106 0 0.0730253
107 0 0.0672371
108 0 0.060464
109 0 0.0528127
110 0 0.0444021
111 0 0.0353614
112 0 0.0258282
113 0 0.0159468
114 0 0.00586556
115 0 -0.00426465
116 0 -0.014293
117 0 -0.0240707
118 0 -0.0334531
119 0 -0.0423019
120 0 -0.0504867
121 0 -0.0578876
122 0 -0.0643958
123 0 -0.0699163
124 0 -0.0743684
125 0 -0.0776869
126 0 -0.0798237
127 0 -0.0807476
128 0 -0.0804451
129 0 -0.0789208
130 0 -0.0761971
131 0 -0.0723138
132 0 -0.0673277
133 0 -0.0613117
134 0 -0.0543539
135 0 -0.0465563
136 0 -0.0380333
137 0 -0.0289102
138 0 -0.0193213
139 0 -0.00940811
140 0 0.000682629
141 0 0.0108012
142 0 0.0207967
143 0 0.0305197
144 0 0.0398239
145 0 0.0485685
146 0 0.0566201
147 0 0.0638548
148 0 0.0701599
149 0 0.0754356
150 0 0.0795964
151 0 0.0825728
152 0 0.0843118
153 0 0.0847781
154 0 0.083955
155 0 0.0818443
156 0 0.0784664
157 0 0.0738607
158 0 0.0680848
159 0 0.0612138
